"نام مرکز درمانی
",نوع  ,خدمات,زمینه تخصصی,"سازمان
 متبوع",استان,شهر,IPD
نمازی شیراز ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
اعصاب و روان پل كرگانه خرم آباد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
شهداء نیریز,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,نیریز,No
ابن سینا دلفان (نورآباد),درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,دلفان‌,No
پورسینا مانه و سملقان,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,مانه و سملقان,No
امام رضا (ع) بجنورد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,بجنورد,No
جواد الائمه (ع) جاجرم,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,جاجرم,No
مراكز آموزشی درمانی نور و حضرت علی اصغر,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
دكتر مسیح دانشوری,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
امام خمینی (ره) فیروزكوه,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,فیروزكوه‌,No
شهداء یافت آباد ,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
شهید دكتر محمد مفتح ورامین,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,ورامین‌,No
طرفه,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
زعیم پاكدشت,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,پاكدشت‌,No
امام خمینی (ره) اسكو,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,اسكو,No
امام جعفر صادق (ع) پاسارگاد,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,پاسارگاد,No
امام خمینی (ره) پلدختر,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,پلدختر,No
والفجر تفرش,درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,تفرش‌,No
امام خمینی (ره) خمین,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,خمین‌,No
امام صادق (ع) دلیجان,درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,دلیجان‌,No
ولیعصر (عج) اراك,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,اراك‌,No
امیر كبیر اراك,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,اراك‌,No
امیرالمومنین(ع) اراک,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,اراك‌,No
22 بهمن نیشابور,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,نیشابور,No
قائم (عج),درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,اسداباد,No
خیریه رحیمیان البرز,درمانی,,عمومی,سازمانهای خیریه,قزوین,البرز,No
حاج محمد اسماعیل امتیاز و مركز فوریتهای جراحی شهید رجایی,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
شهیدرجائی ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,البرز,كرج‌,No
حضرت رسول اكرم (ص) آبدانان,درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,ابدانان‌,No
رازی سراوان,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,سراوان‌,No
رازی قائمشهر ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,قائم‌ شهر,No
رفیده,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
آیه الله روحانی بابل,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,بابل,No
تامین اجتماعی سقز,درمانی,,عمومی,سازمان تامین اجتماعی,كردستان,سقز,No
امام علی (ع) شیروان چرداول,درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,چرداول,No
امام خمینی (ره) سراب,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,سراب,No
شهداء سرپل ذهاب ,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,سرپل‌ ذهاب‌,No
سیدالشهداء (ع) سمیرم,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,سمیرم‌,No
امام حسین (ع) سپیدان,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,سپیدان‌,No
فاطمیه (س) شبستر,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,شبستر,No
شفا كرمان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,كرمان‌,No
شفا ساری,درمانی,,عمومی,بخش خصوصی,مازندران,ساری,No
شهید فهمیده کرمانشاه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
امیرالمومنین (ع) شهرضا,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,شهرضا,No
صاحب الزمان (عج) شهرضا,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,شهرضا,No
شهریار تبریز,درمانی,,عمومی,بخش خصوصی,آذربایجان شرقی,تبریز,No
دكتر شریعتی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
شفای سمنان,درمانی,,عمومی,سازمان تامین اجتماعی,سمنان,سمنان‌,No
شهداء گمنام,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
امام حسین ‌(ع) ملایر,درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,ملایر,No
شهداء تجریش,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
امام حسین ‌(ع) تهران,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
سیدالشهداء آران و بیدگل ,درمانی,,عمومی,دانشگاه علوم پزشکی,کاشان,آران و بیدگل,No
شهداء عشایر خرم آباد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
شهداء لردگان,درمانی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,لردگان‌,No
شهداء لنجان -لنجان,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,لنجان‌,No
شهداء سروستان,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,سروستان,No
شهداء پاكدشت,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,پاكدشت‌,No
مركز درمانی آموزشی و پژوهشی سینا (تهران),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
سیدالشهداء (ع) فارسان,درمانی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,فارسان‌,No
حضرت ولی عصر (عج) بافق,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,بافق‌,No
شهید صدوقی یزد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
صدیقه زهرا (س),درمانی,,عمومی,سازمانهای خیریه,تهران,ری,No
آیت اله طالقانی ارومیه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,ارومیه‌,No
آیت الله طالقانی كرمانشاه,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
آیت الله طالقانی نهران,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
خاتم الانبیا (ص) بندرعباس,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,هرمزگان,بندرعباس‌,No
حضرت ولی عصر(عج) قم ,درمانی,,عمومی,سازمانهای خیریه,قم,قم‌,No
ولیعصر (عج) تهران,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
ولیعصر (عج) شهربابك,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,شهربابك‌,No
ضیائی و قائم اردكان,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,اردكان‌,No
پانزده خرداد مهدیشهر سمنان,درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,مهدی شهر,No
عالی نسب تبریز,درمانی,,عمومی,سازمان تامین اجتماعی,آذربایجان شرقی,تبریز,No
امام علی (ع) رودان,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,رودان‌,No
فاطمه الزهرا (س) اشتهارد,درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,اشتهارد,No
دكترعلی شریعتی ,درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,كرج‌,No
امام حسن مجتبی (ع) البرز,درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,نظرآباد,No
امام جعفر صادق (ع),درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,ساوجبلاغ,No
ثارالله كرج,درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,كرج‌,No
دكتر علوی ,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
مركز آموزشی درمانی حضرت امیرالمومنین (ع) سمنان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,سمنان‌,No
علوی اردبیل,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
مركز آموزشی و درمانی دكتر فاطمی,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
امام خمینی (ره) اردبیل,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
امام خمینی (ره) خلخال,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,خلخال‌,No
ولیعصر (عج) مشكین شهر,درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,مشكین‌شهر,No
امام علی (ع) زرند ,درمانی,,عمومی,سازمان تامین اجتماعی,كرمان,زرند,No
بهبود تبریز,درمانی,,عمومی,بخش خصوصی,آذربایجان شرقی,تبریز,No
شهید دكتر بهشتی شیراز,درمانی,,عمومی,سازمان تامین اجتماعی,فارس,شیراز,No
بعثت سنندج,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,سنندج‌,No
شهید دكتر چمران فردوس,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,فردوس‌,No
امام رضا (ع) بیرجند,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,بیرجند,No
شهداء قائن,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,قائنات,No
ولیعصر (عج) بیرجند,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,بیرجند,No
شهید بهشتی چالدران,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,چالدران‌,No
دكتر مجیبیان یزد,درمانی,,عمومی,بخش خصوصی,یزد,یزد,No
طاهری تالش,درمانی,,عمومی,بخش خصوصی,گیلان,ط‌والش‌,No
سورنا,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
فامیلی رشت,درمانی,,عمومی,بخش خصوصی,گیلان,رشت‌,No
شهید فیاض بخش,درمانی,,عمومی,سازمان تامین اجتماعی,تهران,تهران,No
آیت الله گلپایگانی قم ,درمانی,,عمومی,سازمانهای خیریه,قم,قم‌,No
پنجم آذر گرگان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,گرگان‌,No
كلینیك ویژه دزیانی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,گرگان‌,No
22 آبان لاهیجان,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,لاهیجان‌,No
شهید بهشتی انزلی,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,بندرانزلی,No
شهید انصاری رودسر,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,رودسر,No
امینی لنگرود,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,لنگرود,No
كوثر آستانه اشرفیه,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,استانه ‌اشرفیه‌,No
شهید دكتر بهشتی آستارا,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,استارا,No
توتونكاران رشت,درمانی,,عمومی,بخش خصوصی,گیلان,رشت‌,No
شفا لاهیجان,درمانی,,عمومی,بخش خصوصی,گیلان,لاهیجان‌,No
حضرت رسول اکرم (ص) رشت,درمانی,,عمومی,سازمان تامین اجتماعی,گیلان,رشت‌,No
ولیعصر(عج) نیروی دریائی رشت,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,گیلان,رشت‌,No
امام حسن مجتبی (ع) فومن,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,فومن‌,No
دكترحشمت رشت,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,رشت‌,No
امام خمینی (ره) صومعه سرا,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,صومعه‌سرا,No
31 خرداد منجیل,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,رودبار,No
شهید نورانی تالش,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,ط‌والش‌,No
مركز آموزشی درمانی رازی رشت,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,رشت‌,No
رسالت ماسال,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,ماسال‌,No
سلامت رستم آباد,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,رودبار,No
ولیعصر (عج) رودبار,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,رودبار,No
استاد مطهری جهرم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,جهرم‌,No
خاتم الانبیا (ص) شهر خفر,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,جهرم‌,No
امام خمینی (ره) آمل,درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,امل‌,No
مهر بیرجند,درمانی,,عمومی,بخش خصوصی,خراسان جنوبی,بیرجند,No
شهید مطهری لنجان,درمانی,,عمومی,سایر سازمانها,اصفهان,لنجان‌,No
صلاح الدین ایوبی بانه,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,بانه‌,No
شهید چمران سروآباد,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,سروآباد,No
فجر مریوان,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,مریوان‌,No
امام حسین ‌(ع) بیجار,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,بیجار,No
امام خمینی (ره) دیواندره,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,دیواندره‌,No
امام خمینی (ره) سقز,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,سقز,No
540 تختخوابی كوثر,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,سنندج‌,No
رازی بانه,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,بانه‌,No
شهید بهشتی قروه,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,قروه‌,No
شهداء دهگلان,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,دهگلان,No
توحید سنندج,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,سنندج‌,No
حضرت رسول اکرم (ص) فریمان,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,فریمان‌,No
ثامن الائمه (ع) چناران ,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,چناران‌,No
حضرت ابوالفضل (ع)  کاشمر,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,كاشمر,No
شهید مدرس کاشمر,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,كاشمر,No
لقمان حكیم سرخس,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,سرخس‌,No
خاتم الانبیاء (ص) تایباد,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,تایباد,No
نجمیه تهران,آموزشی، درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,تهران,تهران,No
حكیم نیشابور,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,نیشابور,No
پارسا تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
امام خمینی (ره) سردشت,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,سردشت‌,No
امام حسین (ع) ارادان ,درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,آرادان,No
فاطمیه (س) سمنان ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,سمنان‌,No
امام ره گرمسار,درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,گرمسار,No
فاطمیه (س) شاهرود,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,شاهرود,No
مركز آموزشی درمانی شهداء قم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,No
شهداء شوط ,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,شوط,No
شهید رهنمون یزد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
امام جعفر صادق (ع) میبد,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,میبد,No
شهید بهشتی تفت,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,تفت‌,No
مهر مادر,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,تربت ‌جام‌,No
محمد صادق افشار یزد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
شهداء شوشتر,درمانی,,عمومی,سازمان تامین اجتماعی,خوزستان,شوشتر,No
خاتم الانبیا (ص) ایرانشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,ایرانشهر,No
خاتم الانبیاء (ص) زاهدان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
امام خمینی (ره) خاش,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,خاش‌,No
امام علی (ع) چابهار,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,چاه‌ بهار,No
17 شهریور ایرانشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,ایرانشهر,No
شهداء هیرمند,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان و بلوچستان,هیرمند,No
رازی ماهنشان,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,ماه‌ نشان‌,No
آیت اله موسوی زنجان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
شهداء طارم,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,ط‌ارم‌,No
بوعلی سینا خرمدره,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,خرمدره‌,No
امدادی ابهر,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,ابهر,No
ثامن الائمه (ع) بجنورد,درمانی,,عمومی,سازمان تامین اجتماعی,خراسان شمالی,بجنورد,No
شهید یحیی نژاد- بابل,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,بابل,No
یاس تهران,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
سینا زرند ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,زرند,No
بهمن زنجان,درمانی,,عمومی,بخش خصوصی,زنجان,زنجان‌,No
امام خمینی (ره) زابل,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زابل‌,No
سیدالشهداء (ع) زهک,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زهك,No
حضرت زینب (س) شیراز,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
زینبیه خورموج,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,دشتی,No
ایثار ایجرود,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,ایجرود,No
حضرت خاتم الاانبیاء ابرکوه,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,ابركوه‌,No
امام سجاد (ع) كوهرنگ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,چهارمحال و بختیاری,كوهرنگ,No
مجتمع آموزشی درمانی امام علی (ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,البرز,كرج‌,No
امام رضا (ع) تهران,آموزشی، درمانی، پژوهشی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
امام موسی كاظم (ع) ماهشهر,درمانی,,عمومی,سازمان تامین اجتماعی,خوزستان,بندرماهشهر,No
پیمانیه جهرم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,جهرم‌,No
شهید چمران كنگاور,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كنگاور,No
فاطمیه (س) خوانسار,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,خوانسار,No
خاتم الانبیا (ص) شاهرود,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه آزاد اسلامی,سمنان,شاهرود,No
خاتم الانبیا (ص) نطنز,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,نط‌نز,No
خاتم الانبیا (ص) جاسك,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,بندرجاسك‌,No
حضرت ولی عصر (عج) خرم بید,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,خرم بید,No
قمر بنی هاشم خوی,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,خوی,No
شهید مدنی خوی,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,خوی,No
كیان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
تخصصی و فوق تخصصی كیش,درمانی,,عمومی,سایر سازمانها,هرمزگان,كیش,No
خاتم الانبیاء (ص) بافت,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,بافت,No
مركز آموزشی پژوهشی درمانی كوثر(سمنان),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,سمنان‌,No
لقمان حكیم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
فجر ماكو,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,ماكو,No
حضرت ولی عصر (عج) ممسنی ,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,ممسنی,No
9 دی منظریه خمینی شهر ,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,خمینی شهر,No
كوه كمری مرند,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,مرند,No
مسعود گرگان,درمانی,,عمومی,بخش خصوصی,گلستان,گرگان‌,No
مهراد تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
حضرت فاطمه (س) میاندوآب,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,میاندواب‌,No
ایرانمهر,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
شهید مصطفی خمینی ایلام,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,ایلام‌,No
شهداء خلیج فارس بوشهر,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,بوشهر,بوشهر,No
امام خمینی (ره) شركت نفت مسجدسلیمان,درمانی,,عمومی,شركت نفت,خوزستان,مسجدسلیمان‌,No
سینا كامیاران,درمانی,,عمومی,دانشگاه علوم پزشکی,كردستان,كامیاران‌,No
امام حسن مجتبی(ع) كلات,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,كلات,No
کلینیک ویژه مرحوم حسینی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,سیرجان‌,No
حضرت فاطمه (س) نقده,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,نقده‌,No
نرگس دورود,درمانی,,عمومی,سازمان تامین اجتماعی,لرستان,دورود,No
نیمه شعبان ساری,درمانی,,عمومی,بخش خصوصی,مازندران,ساری,No
امام علی(ع) بجنورد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,بجنورد,No
امام خمینی (ره) شیروان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,شیروان‌,No
آیت الله هاشمی رفسنجانی شیروان,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,شیروان‌,No
پیامبر اعظم (ص) قشم,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,قشم‌,No
قدس پاوه,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,پاوه‌,No
پیامبر اعظم (ص),درمانی,,عمومی,سازمان تامین اجتماعی,كرمان,كرمان‌,No
امام خمینی (ره) پیرانشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,پیرانشهر,No
امام خمینی (ره) پلدشت ,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,پلدشت,No
امام سجاد (ع) تهران,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,تهران,تهران,No
كلینیك تخصصی و فوق تخصصی چشم پزشكی پوستچی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
پارس ابوموسی,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,ابوموسی,No
شهید سید فخرالدین رحیمی,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
شهید رجایی تنكابن,درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,تنكابن‌,No
رازی چالوس,درمانی,,عمومی,سازمان تامین اجتماعی,مازندران,چالوس‌,No
راضیه فیروزكرمان,درمانی,,عمومی,بخش خصوصی,كرمان,كرمان‌,No
سبلان اردبیل ,درمانی,,عمومی,سازمان تامین اجتماعی,اردبیل,اردبیل‌,No
دكتر معاون صحنه,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,صحنه‌,No
خاتم الانبیاء(ص) سلماس,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,سلماس‌,No
مهرگان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
امام رضا (ع) زرندیه,درمانی,,عمومی,دانشگاه علوم پزشکی,مرکزی,زرندیه,No
سوم شعبان دماوند,درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,دماوند,No
امام خمینی (ره) سپید دشت,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
دكترعلی شریعتی فسا,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,فسا,No
درمانگاه تخصصی حمزه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,فسا,No
شفا كلیشاد و سودرجان,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,فلاورجان‌,No
شهید راثی شاهین دژ,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,شاهین ‌دژ,No
تامین اجتماعی شهریار ,درمانی,,عمومی,سازمان تامین اجتماعی,تهران,شهریار,No
شهریار تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
سیدرضا شاه ولی یزد ,آموزشی، درمانی,,عمومی,دانشگاه آزاد اسلامی,یزد,یزد,No
دكتر علی شریعتی اصفهان,آموزشی، درمانی,,عمومی,سازمان تامین اجتماعی,اصفهان,اصفهان‌,No
